"Version","Class","Domain","Variable Order","CDASH Variable","CDASH Variable Label","DRAFT CDASH Definition","Domain Specific","Question Text","Prompt","Type","SDTM Target","Mapping Instructions","Controlled Terminology Codelist Code","Implementation Notes"
"CDASH Model v1.3","Findings",,"31","--LOCDTL","Location Detail","A detailed description of the location of the identified finding.",,"What [were/are] additional details on the exact location of the [finding] so that it can be distinguished from other [findings] in the same anatomical location?","[Finding] Location Detail","Char","QVAL","This does not map directly to an SDTM variable. This information could be submitted in a SUPP-- dataset as the value of SUPP--.QVAL where SUPP--.QNAM=""--LOCDTL"" and SUPP--.QLABEL=""Location Detail"".","","Use if --LOC and --LAT and/or --DIR values cannot provide uniqueness from other identified findings. --LOCDTL is not meant to replace --LOC, --LAT, and/or --DIR, or to serve as the free-text description field for --LOC (e.g., Location, Other)."
"CDASH Model v1.3","Findings",,"32","--PORTOT","Portion or Totality","Qualifier for anatomical location further detailing the distribution (i.e., arrangement of, apportioning of).",,"What [is/was] the portion or totality (of the anatomical location of the [measurement/test/examination/question/assessment])?","Portion or Totality","Char","--PORTOT","Maps directly to the SDTM variable listed in the SDTM Target column.","C99075","Further detailing the portion or totality of the location of the --TEST. This may be pre-printed or collected."
"CDASH Model v1.3","Findings",,"33","--METHOD","Method of Test or Examination","The method of the test or examination.",,"What was the method (used for the [measurement/test/examination/question/assessment])?; What was the method (used to [measure/test/examine/question/assess/evaluate/identify] the [finding])?","Method","Char","--METHOD","Maps directly to the SDTM variable listed in the SDTM Target column.","C85492","Note: CDISC Controlled Terminology (EGMETHOD) is used in the EG domain."
"CDASH Model v1.3","Findings",,"34","--LEAD","Lead Identified to Collect Measurements","The lead or leads identified to capture the measurement for a test from an instrument.",,"What [is/was] the lead (used to measure [measurement/test/examination/question/assessment])?","Lead","Char","--LEAD","Maps directly to the SDTM variable listed in the SDTM Target column.","","Note: CDISC Controlled Terminology (EGLEAD) is used in the EG domain."
"CDASH Model v1.3","Findings",,"35","--CSTATE","Consciousness State","The consciousness state of the subject at the time of measurement.",,"What [is/was] the consciousness state of the subject (at the time of the [measurement/test/examination/question/assessment])?","Consciousness State","Char","--CSTATE","Maps directly to the SDTM variable listed in the SDTM Target column.","",
"CDASH Model v1.3","Findings",,"36","--FAST","Fasting Status","An indication as to whether the subject had abstained from food/water for the specified amount of time.",,"[Is/Was] the subject fasting (prior to the [test being performed/sample being collected])?","Fasting","Char","--FAST","Maps directly to the SDTM variable listed in the SDTM Target column.","C66742",
"CDASH Model v1.3","Findings",,"37","--EVAL","Evaluator","The role of the person providing the evaluation.",,"Who provided the (sponsor-defined phrase) information?; Who was the evaluator?","[Evaluator/Reporter]","Char","--EVAL","Maps directly to the SDTM variable listed in the SDTM Target column.","C78735","Used only for results that are subjective (e.g., assigned by a person or a group). May be a preprinted or collected. Sponsors may collect the data using a subset list of CT on the CRF. Not used in QS, FT, and clinical classifications use case of RS."
"CDASH Model v1.3","Findings",,"38","--EVALID","Evaluator Identifier","An identifier used to distinguish multiple evaluators with the same role, recorded in --EVAL.",,"What [is/was] the identifier of the [evaluator name/reporter name] (providing the-sponsor-defined phrase- information)?","[Evaluator/Reporter] Identifier","Char","--EVALID","Maps directly to the SDTM variable listed in the SDTM Target column.","C96777","Not used in QS, FT, and clinical classifications use case of RS."
"CDASH Model v1.3","Findings",,"39","--ACPTFL","Accepted Record Flag","An indication that the evaluation is considered, by an independent assessor, to be the accepted or final evaluation.",,"[Is/Was] this record considered to be the [accepted/final] evaluation?","[Accepted/Final] Evaluation","Char","--ACPTFL","Maps directly to the SDTM variable listed in the SDTM Target column.","C66742","Used where more than 1 assessor provides an evaluation of a result or response. Typically a checkbox with the value of ""Y"" or ""NULL"", which indicates the evaluation was accepted."
"CDASH Model v1.3","Findings",,"40","--TOX","Toxicity","The description of toxicity quantified by --TOXGR (e.g., NCI CTCAE Short Name).",,"What [is/was] the description of the [NCI CTCAE/scale name] toxicity?","[NCI CTCAE/Scale Name ] Toxicity","Char","--TOX","Maps directly to the SDTM variable listed in the SDTM Target column.","","Sponsors may choose not to collect --TOX. If collected, sponsors should specify which scale and version is used in the Sponsor Comments column of the Define-XML document."
"CDASH Model v1.3","Findings",,"41","--TOXGR","Toxicity Grade","The toxicity grade using a standard toxicity scale (e.g., NCI CTCAE).",,"What [is/was] the [NCI CTCAE Toxicity/scale name] grade?","[NCI CTCAE Toxicity/scale name] Grade","Char","--TOXGR","Maps directly to the SDTM variable listed in the SDTM Target column.","","Sponsors may choose not to collect --TOXGR. If collected, sponsors should specify which scale and version is used in the Sponsor Comments column of the Define- XML document. Note: CDISC Controlled Terminology (TOXGRV3 or TOXGRV4) may be used for this variable."
"CDASH Model v1.3","Findings",,"42","--SEV","Severity","The severity or intensity of a particular finding.",,"What [is/was] the severity (of the finding)?","Severity","Char","--SEV","Maps directly to the SDTM variable listed in the SDTM Target column.","",
"CDASH Model v1.3","Findings",,"43","--CLSIG","Clinical Significance","An indication whether the test results were clinically significant.",,"[Is/Was] the ([measurement/test/examination/question/assessment]) result clinically significant?","([Measurement/Test/Examination/])/Clinically Significant","Char","--CLSIG","Maps directly to the SDTM variable listed in the SDTM Target column.","C66742",
"CDASH Model v1.3","Findings",,"44","--DTHREL","Relationship to Death","An indication of the relationship of a particular finding to the death of a subject.",,"[Is/Was] this findings related to the death of the subject?","Related to Death","Char","--DTHREL","Maps directly to the SDTM variable listed in the SDTM Target column.","C66742",
"CDASH Model v1.3","Findings",,"45","--CLLOQ","Collected Lower Limit of Quantitation","The collected lower limit of quantitation for an assay, represented in text format or as a range, such as less than a specified numeric value.",,"What [is/was] the lower limit of quantification (for the [measurement/test/examination])?","Lower Limit of Quantification","Num","--LLOQ","This does not map directly to an SDTM variable. For the SDTM dataset, the CDASH variable, --CLLOQ maps to the SDTM variable --LLOQ. The units will be those used for --STRESU.","","These data may be obtained directly from the lab or the electronic equipment and not collected on the CRF. The units are those used for the SDTM variable --STRESU. This is not the lower limit of normal of the reference range for the test. The SDTM variable --LLOQ must be populated as a numeric."
"CDASH Model v1.3","Findings",,"46","--CULOQ","Collected Upper Limit of Quantitation","The collected upper limit of quantitation for an assay, represented in text format or as a range, such as greater than a specified numeric value.",,"What [is/was] the upper limit of quantification (for the [measurement/test/examination])?","Upper Limit of Quantification","Num","--ULOQ","This does not map directly to an SDTM variable. For the SDTM dataset, the CDASH variable, --CULOQ maps to the SDTM variable --ULOQ. The units will be those used for --STRESU.","","These data may be obtained directly from the lab or the electronic equipment and not collected on the CRF. The units are those used for the SDTM variable --STRESU. This is not the upper limit of normal of the reference range for the test. The SDTM variable --ULOQ must be populated as a numeric."
"CDASH Model v1.3","Findings",,"47","--COND","Test Condition Met","An indication whether the testing conditions defined in the protocol were met (e.g., low-fat diet).",,"[Are/Were] the protocol-defined testing conditions met?","Defined Testing Condition Met","Char","QVAL","This information could be submitted in a SUPP--dataset as the value of SUPP--.QVAL when SUPP--.QNAM = --COND and SUPP.QLABEL=""Test Condition Met"". Refer to the current SDTM and SDTMIG for instructions on placement of NSVs in SDTM domains.","C66742",
"CDASH Model v1.3","Findings",,"48","--REPNUM","Repetition Number","The instance number of a test that is repeated within a given timeframe for the same test. The level of granularity can vary (e.g., within a time point or within a visit).",,"What was the repetition number within (the) [time point/visit/timeframe] (for this [measurement/test/examination/question/assessment])?","Repetition Number within (the) [time point/visit/timeframe]","Char","--REPNUM","Maps directly to the SDTM variable listed in the SDTM Target column.","","The repetition number of the test/measurement within the time point may be pre-printed on the CRF (e.g., multiple measurements of blood pressure, multiple analyses of a sample)."
"CDASH Model v1.3","Findings",,"49","--DATFL","Same as Previous Sample Collection Date","A flag indicating that the date (or start date) is the same as the previous specimen collection date (or start date).",,"[Is/Was] this specimen/sample collected on the same date as the (last/previous specimen/sample) (collected/collection ended)?","Same as ([Last/Previous]) ([Specimen/Sample]) ([Collection/Collection End]) Date","Char",,"Does not map to an SDTM variable. The SDTM annotated CRF indicates that this field is NOT SUBMITTED.","","When a series of specimens are recorded on a single CRF, this field is tied to the collection date to allow for the flag to be used as a surrogate for the date field. Its selection means that the date of this specimen is the same as the date of the last specimen collected (in the series). Usually a checkbox or tick box on the CRF. This would typically be used in the PC domain."
"CDASH Model v1.3","Findings",,"50","--ENDATF","Same as Current Sample Collection Start Date","A flag indicating that the specimen/sample collection ended on the same date the current/previous specimen collection started.",,"[Is/Was] this specimen/sample collection ended on the same day as the current specimen's/sample's start date?","Same as Current (Specimen's/Sample Collection) Start Date","Char",,"Does not map to an SDTM variable. The SDTM annotated CRF indicates that this field is NOT SUBMITTED.","","When a series of interval sample/specimen collections are recorded on a single CRF, this field is tied to the start of the current collection to allow for the flag to be used as a surrogate for the date field. Its selection means that the end date of this specimen/sample collection is the same as the start date of the current specimen/sample collected. Usually a checkbox or tick box on the CRF. This would typically be used in the PC domain."
"CDASH Model v1.3","Findings",,"51","COVAL","Comment","A free-text comment.",,"[Protocol-specified Targeted Question]?","[abbreviated version of the protocol-specified targeted question]","Char","COVAL","This does not map directly to an SDTM variable. For the SDTM dataset, the CDASH variable --COVAL maps to the SDTM variable COVAL (COVAL2, COVAL3) in the CO domain. Associate the free-text comment in the CO domain with the original record using RDOMAIN, IDVAR, IDVARVAL, COREF.","","If an additional free-text field is needed to provide a comment about a particular record, use the COVAL(n) field to collect the free text, and associate the free-text comment with the original record using SDTM variables RDOMAIN, IDVAR, IDVARVAL, COREF. See the SDTMIG for additional information."
"CDASH Model v1.3","Findings",,"52","--MODIFY","Modified Term","If the value for --ORRES is modified for coding purposes, then the modified text is placed here.",,,,"Char","--MODIFY","Maps directly to the SDTM variable listed in the SDTM Target column.","","This is not a data collection field that will appear on the CRF; sponsors will populate this through the coding process. The rationale for adding coding variables to CDASH is to provide a more complete data management package."
"CDASH Model v1.3","Findings",,"53","--BODSYS","Body System or Organ Class","Body system or organ class that is involved for a finding, from the standard hierarchy for dictionary-coded results.",,"What is/was the [body system/organ system]?","[Body System/Organ System]","Char","--BODSYS","Maps directly to the SDTM variable listed in the SDTM Target column.","","--BODSYS should be assigned using a coding system. If included on the CRF, it is pre-populated and must be paired by the sponsor with specific prespecified verbatim terms. If not included on the CRF, --BODSYS is assigned through the coding process."
"CDASH Model v1.3","Findings",,"54","--CNTMOD","Contact Mode","The way in which the event contact was conducted.",,"What was the contact mode?","Contact Mode","Char","--CNTMOD","Maps directly to the SDTM variable listed in the SDTM Target column.","","Terms like ""IN PERSON"", ""TELEPHONE"", ""IVRS"" may be used"
"CDASH Model v1.3","Findings",,"55","--EPCHGI","Epi/Pandemic Related Change Indicator","An indication whether the event was changed due to an epidemic or pandemic.",,"Was the [event topic] changed due to an edidemic or pandemic?","Epi/Pandemic Related Change Indicator","Char","--EPCHGI","Maps directly to the SDTM variable listed in the SDTM Target column.","C66742","Not the same as whether a medical condition was caused by an epidemic or pandemic."
"CDASH Model v1.3","Findings",,"56","--TMTHSN","Test Method Sensitivity","The sensitivity of the test methodology with respect to observation, detection, or quantification.",,"What is the [test method] sensitivity?","[Test Method] Sensitivity","Char","--TMTHSN","Maps directly to the SDTM variable listed in the SDTM Target column.","C179589","The sensitivity of the test may be collect with terms luch as ""LOW SENSITIVITY"", ""HIGH SENSITIVITY"", ""ULTRA-HIGH SENSITIVITY""."
"CDASH Model v1.3","Findings",,"57","--REASPF","Reason Test Performed","The explanation for why a test, measurement, or assessment is executed.",,"What is the reason the [test] was performed?","[Test] Performed","Char","--REASPF","Maps directly to the SDTM variable listed in the SDTM Target column.","",
"CDASH Model v1.3","Findings",,"58","--DISTR","Distribution Pattern of Finding","A description of the distribution pattern of a finding within the examined area.",,"What is the [pattern/distribution] of the [findings/results] within the examined area?","Distribution Pattern of Finding","Char","--DISTR","Maps directly to the SDTM variable listed in the SDTM Target column.","","Terms such as ""FOCAL"", ""MULTIFOCAL"", ""DIFFUSE"" may be used to describe the distribution pattern."
"CDASH Model v1.3","Findings",,"59","--RESTYP","Result Type","The classification of the kind of result (i.e., property type) originally reported for the test.",,"What is the [classification/type] of the [test/test result]?","Result Type","Char","--RESTYP","Maps directly to the SDTM variable listed in the SDTM Target column.","C179588","Terms such as ""SUBSTANCE CONCENTRATION"", ""MASS RATE"", ""ARBITRARY CONCENTRATION"" may be used."
"CDASH Model v1.3","Findings",,"60","--RESSCL","Result Scale","The classification of the scale of the original result value.",,"What is the [scale classification/type] used for the [test/test result]?","Result Scale","Char","--RESSCL","Maps directly to the SDTM variable listed in the SDTM Target column.","C177910","Terms such as ""ORDINAL"", ""NOMINAL"", ""QUANTITATIVE"", ""NARRATIVE"" may be used."
"CDASH Model v1.3","Findings",,"61","--TSTCND","Test Condition","The planned condition imposed by the assay system on the specimen at the time the test is performed. \n \n \n",,"What is the (planned) [condition] on the specimen?","Test Condition","Char","--TSTCND","Maps directly to the SDTM variable listed in the SDTM Target column.","","This may be terms relating to stimulating or activating agents, assay temperature, incubation time (e.g., ""STIMULATED"", ""NON-STIMULATED"", ""25 C"", ""37 C""). Used only in the CP, IS, and LB domains."
"CDASH Model v1.3","Findings",,"62","--CNDAGT","Test Condition Agent","The textual description of the agent used to impose a test condition identified in --TSTCND.",,"What is the [test condition agent]?","[Test Condition Agent]","Char","--CNDAGT","Maps directly to the SDTM variable listed in the SDTM Target column.","","The agent would typically be selected from a list of terms, provided by an external vendor, or prespecified in the protocol. Used only in the CP, IS, and LB domains."
"CDASH Model v1.3","Findings",,"63","--BDAGNT","Binding Agent","The textual description of the agent that's binding to the entity in the --TEST variable.",,"What is the [binding agent] used for the [--test]?","[Test] Binding Agent","Char","--BDAGNT","Maps directly to the SDTM variable listed in the SDTM Target column.","","This typically would prespecified in the protocol and not directly collected or provided by a by an external vendor. The binding agent may be, but is not limited to, a test article, a portion of the test article, a related compound, an endogenous molecule, an allergen, or an infectious agent. Used only in CP, IS, and LB domains."
"CDASH Model v1.3","Findings",,"64","--TSTOPO","Test Operational Objective","The textual description of the high-level purpose of the test at the operational level.",,"What is the [operational objective/reason] of the [test]?","[Test] Operational Objective","Char","--TSTOPO","Maps directly to the SDTM variable listed in the SDTM Target column.","","Terrms such as ""SCREEN"", ""CONFIRM"", ""QUANTIFY"" may be used."
"CDASH Model v1.3","Findings",,"65","--COLSRT","Collected Summary Result Type","An indicatation of the type of a collected summary result.",,"What type of [(summary)result for the test] is collected?","Collected [(summary) result] Type","Char","--COLSRT","Maps directly to the SDTM variable listed in the SDTM Target column.","","This is used for summary results collected on a CRF or provided by an external vendor (e.g., central lab). If the summary result is derived by the sponsor using individual source data records, this is not used. This is usually prespecified by the sponsor."
"CDASH Model v1.3","Findings",,"66","--CHRON","Chronicity of Finding","The characterization of the duration of a biological process resulting in a particular finding.",,"What is the [chronicity of finding of the biological process]?","Chronicity of Finding","Char","--CHRON","Maps directly to the SDTM variable listed in the SDTM Target column.","","Terms such as ACUTE"", ""CHRONIC"", ""SUBACUTE"" may be used."
"CDASH Model v1.3","Findings",,"67","--RUNID","Run ID","A sequence of characters used to uniquely identify a particular run of a test on a particular batch of samples.",,"What is the run-id for the [sample/batch/replicate]?","Run ID","Char","--RUNID","Maps directly to the SDTM variable listed in the SDTM Target column.","",
"CDASH Model v1.3","Findings About",,"1","--OBJ","Object of the Observation","Describes the event or intervention whose property is being measured in --TESTCD/--TEST.",,,,"Char","--OBJ","Maps directly to the SDTM variable listed in the SDTM Target column.","","The --OBJ will usually be preprinted or hidden, and not solicited as an actual question. These FA domains are usually created by each sponsor. CDASH has used this variable in the SR domain."
"CDASH Model v1.3","Identifiers",,"1","SPONSOR","Sponsor","An identifier for the entity with the overall regulatory responsibility for the protocol.",,"What is the sponsor identifier?","Sponsor","Char","TSVAL","For the SDTM dataset, the value in the CDASH field SPONSOR maps to the SDTM variable TSVAL. The SDTM variable TSPARMCD is populated with ""SPONSOR"" and the SDTM variable TSPARM is populated with ""Clinical Study Sponsor"".","","In some cases, the combination of Sponsor ID with Study ID and Site ID might be needed by external parties (e.g., CRO or for a multisponsor study) to uniquely identify sites belonging to the study for the given sponsor."
"CDASH Model v1.3","Identifiers",,"2","DOMAIN","Domain Abbreviation","A 2-character abbreviation for the domain most relevant to the observation.",,,,"Char","DOMAIN","Maps directly to the SDTM variable listed in the SDTM Target column.","C66734","This field can be derived into the database or created during SDTM dataset creation before submission. The domain abbreviation is also used as a prefix for variables to ensure uniqueness when datasets are merged."
"CDASH Model v1.3","Identifiers",,"3","STUDYID","Study Identifier","A unique identifier for a study.",,"What [is/was] the study identifier?","[Protocol/Study]","Char","STUDYID","Maps directly to the SDTM variable listed in the SDTM Target column.","","Although this field is not typically captured on a CRF, it should be displayed clearly on the CRF and/or the EDC system. This field can be included into the database or populated during SDTM-based dataset creation before submission."
"CDASH Model v1.3","Identifiers",,"4","SITEID","Study Site Identifier","A unique identifier for a site within a study.",,"What [is/was] the site identifier?","Site (Identifier)","Char","SITEID","For the SDTM dataset, the value in the CDASH field SITEID maps to the SDTM variable DM.SITEID.","","Paper: This is typically preprinted in the header of each CRF page for single site studies. For studies with multiple sites, this field may be left blank so that the number can be recorded by the site, or it may be preprinted for the CRFs that are shipped to each site. \n EDC: This should be prepopulated."
"CDASH Model v1.3","Identifiers",,"5","INVID","Investigator Identifier","An identifier to describe the investigator for the study.",,"What [is/was] the investigator identifier?","Investigator (Identifier)","Char","INVID","For the SDTM dataset, the value in the CDASH field INVID maps to the SDTM variable DM.INVID.","","May be used in addition to the SITEID. Not needed if SITEID is equivalent to INVID."
"CDASH Model v1.3","Identifiers",,"6","SUBJID","Subject Identifier for the Study","A unique subject identifier within a site and a study.",,"What [is/was] the (study) [subject/participant] identifier?","[Subject/Participant] (Identifier)","Char","SUBJID","For the SDTM dataset, the value in the CDASH field SUBJID maps to the SDTM variable DM.SUBJID.","","This CDASH variable is typically collected in all CDASH domains. However, this CDASH variable is populated only in the SDTMIG DM domain. The recording of multiple SUBJID for the same subject is a known SDTM issue. If a subject is screened more than once, there may be more than 1 SUBJID per instance of being screened within the trial. See FDA Study Data Technical Conformance Guide, Section 4.1.1.2.a"
"CDASH Model v1.3","Identifiers",,"7","FOCID","Focus of Study Specific Interest","An identifier used to indicate a focus of study-specific interest on or within a subject or specimen (as described in the protocol), for which a measurement, test, or examination was performed, such as a drug application site (e.g., ""Injection site 1"", ""Biopsy site 1"", ""Treated site 1"") or a more specific focus (e.g., ""OD"" (right eye) or ""Upper left quadrant of the back""). The value in this variable should have inherent semantic meaning.",,"[Protocol specific question]?","[Protocol Specific Prompt]","Char","FOCID","Maps directly to the SDTM variable listed in the SDTM Target column.","","This SDTM variable was defined in SDTM v1.5, but was not included in SDTMIG 3.2. Sponsors should consider the SDTM version being used when creating submission datasets. If using pre-SDTM 1.5, the CDASH-to-SDTM mapping may need to be defined by the sponsor because FOCID was not a valid SDTM variable in these versions."
"CDASH Model v1.3","Identifiers",,"8","--SPID","Sponsor-Defined Identifier","A sponsor-defined identifier. In CDASH, This is typically used for pre-printed or auto-generated numbers on the CRF, or any other type of identifier that does not already have a defined CDASH identifier field.",,"[Sponsor-defined question]","[Sponsor defined]","Char","--SPID","Maps directly to the SDTM variable listed in the SDTM Target column. May be used to create RELREC to link this record with a record in another domain.","","Because SPID is a sponsor-defined identifier, conformance to Question Text or Item Prompt is not applicable. Typically used as an identifier in a data query to communicate clearly to the site the specific record in question or to reconcile data. May be used to record preprinted number (e.g., line number, record number) on the CRF. This field may be populated by the sponsor's data collection system."
"CDASH Model v1.3","Identifiers",,"9","--GRPID","Group ID","A group identifier used to link together a block of related records within a subject in a domain.",,"What [is/was] the [test/procedure/observation] group identifier?","[Test/Procedure/Observation] Group Identifier","Char","--GRPID","Maps directly to the SDTM variable listed in the SDTM Target column.","","Used to link together a block of related records in a single domain for a subject. This group identifier may be used to tie together all the tests collected in a Findings domain using a denormalized approach (see CDASHIG Section 8.3.1, General CDASH Assumptions for Findings Domains). This field may be populated by the sponsor's data management system."
"CDASH Model v1.3","Identifiers",,"10","--LNKID","Link ID","An identifier used to link related records across domains.",,"What [is/was] the [test/procedure/observation] identifier?","[Domain/Observation] Link Identifier","Char","--LNKID","Maps directly to the SDTM variable listed in the SDTM Target column.","","This may be a one-to-one or a one-to-many relationship. Example: A single tumor may have multiple measurements/assessments performed at each study visit."
"CDASH Model v1.3","Identifiers",,"11","--LNKGRP","Link Group ID","An identifier used to link related records across domains.",,"What [is/was] the [domain/observation] link group ID?","[Domain/Observation] Link Group Identifier","Char","--LNKGRP","Maps directly to the SDTM variable listed in the SDTM Target column.","","This will usually be a many-to-one relationship. Example: Multiple tumor measurements/assessments will contribute to a single response-to-therapy determination record."
"CDASH Model v1.3","Identifiers",,"12","--REFID","Reference ID","An internal or external identifier (e.g., lab specimen ID, UUID for an ECG waveform or a medical image).",,"What [is/was] the [test/procedure/domain/observation/specimen/sample/report] [reference identifier/accession number/identifier]?","[Test/Procedure/Domain/Observation/Specimen/Sample/Report] [Reference/Accession Number/Identifier]","Char","--REFID","Maps directly to the SDTM variable listed in the SDTM Target column.","",
"CDASH Model v1.3","Identifiers",,"13","--AENO","Related Adverse Event ID","A numerical identifier for the adverse event that is associated with/related to this intervention/finding/event.",,"What [is/was] the identifier for the adverse event(s) [associated with/related to this intervention/finding/event]?","Related Adverse Event Identifier","Char",,"This does not map directly to an SDTM variable. For the SDTM submission datasets, may be used to create the RELREC dataset to link this record with a record in the associated Adverse Events domain.","","Name of the identifying variable is stored in the SDTM variable IDVAR (e.g., --AENO) and the value of the SDTM variable IDVAR is stored in SDTM variable IDVARVAL. Example question text: What was the identifier for the adverse event associated with this concomitant medication?"
"CDASH Model v1.3","Identifiers",,"14","--MHNO","Related Medical History Event ID","A numerical identifier for the medical history event that is associated with/related to this intervention/finding/event.",,"What [is/was] the identifier for the medical history event(s) [associated with/related to this intervention/finding/event]?","Related Medical History Event Identifier","Char",,"This does not map directly to an SDTM variable. For the SDTM submission datasets, may be used to create the RELREC dataset to link this record with a record in the associated Medical History domain.","","Name of the identifying variable is stored as a value in the SDTM variable IDVAR (e.g., ""--MHNO"") and the value of the IDVAR is stored in the STDM variable IDVARVAL. Example question text prompt: What was the identifier for the medical history event associated with this concomitant medication?"
"CDASH Model v1.3","Identifiers",,"15","--PRNO","Related Procedure ID","A numerical identifier for the procedure that is associated with/related to this intervention/finding/event.",,"What [is/was] the identifier for the procedure(s) [associated with/related to this intervention/finding/event]?","Related Procedure Identifier","Char",,"This does not map directly to an SDTM variable. For the SDTM submission datasets, may be used to create the RELREC dataset to link this record with a record in the associated Procedures domain.","","Name of the identifying variable is stored as a value in the SDTM variable IDVAR (e.g., ""--PRNO"") and the value of the IDVAR is stored in the SDTM variable IDVARVAL. Example question text for an Adverse Event CRF: What was the identifier for the procedure associated with this adverse event?"
"CDASH Model v1.3","Identifiers",,"16","--CENO","Related Clinical Event ID","A numerical identifier for the clinical event that is associated with/related to this intervention/finding/event.",,"What [is/was] the identifier for the clinical event(s) [associated with/related to this intervention/finding/event]?","Related Clinical Event Identifier","Char",,"This does not map directly to an SDTM variable. For the SDTM submission datasets, may be used to create the RELREC dataset to link this record with a record in the associated Clinical Events domain.","","Name of the identifying variable is stored as a value in the SDTM variable IDVAR (""--CENO"") and the value of the IDVAR is stored in the SDTM variable IDVARVAL Example question text: What was the identifier for the clinical event associated with this procedure?"
"CDASH Model v1.3","Identifiers",,"17","SPDEVID","Sponsor Device Identifier","A sponsor-defined identifier for a device.",,"What [is/was] the sponsor identifier for the device?","Sponsor Device Identifier","Char","SPDEVID","Maps directly to the SDTM variable listed in the SDTM Target column.","","SPDEVID is a constructed variable consisting of elements that may not be available at the time of data capture (e.g., device type, manufacturer). Other device identifiers, such as serial number, may instead be used on the CRF. If this is the case, sponsors should use controlled terminology for the SPDEVID elements as variable names where possible. Sponsors should also ensure that, when necessary, those elements required for deriving SPDEVID are captured."
"CDASH Model v1.3","Identifiers",,"18","NHOID","Non-host Organism ID","The identifier for a non-host organism; should only be used when the organism is the subject of the test.",,"What [is/was] the Non-host Organism ID?","Non-host Organism ID","Char","NHOID","Maps directly to the SDTM variable listed in the SDTM Target column.","","This sponsor-defined identifier for a non-host organism should only be used when the organism is the subject of the test."
"CDASH Model v1.3","Identifiers",,"19","--BEATNO","ECG Beat Number","A sequence number that identifies the beat within an ECG.",,"What [is/was] the beat number?","ECG Beat Number","Num","--BEATNO","Maps directly to the SDTM variable listed in the SDTM Target column.","","Used in the EG domain only."
"CDASH Model v1.3","Associated Persons - Identifiers",,"1","APID","Associated Persons Identifier","The identifier for a single associated person, a group of associated persons, or a pool of associated persons.",,"What is the [associated person's/group of associated persons/pool of associated persons] identifier?","[Associated Person's/Group of Associated Persons/Pool of associated persons] Identifier","Char","APID","Maps directly to the SDTM variable listed in the SDTM Target column.","",
"CDASH Model v1.3","Associated Persons - Identifiers",,"2","RSUBJID","Related Subject or Pool Identifier","The identifier for the study subject/participant.",,"What [is/was] the related (study) [subject/participant] identifier?","Related [Subject/Participant] (Identifier)","Char","RSUBJID","Maps directly to the SDTM variable listed in the SDTM Target column.","","This may be derived/populated from the study subject's identifier as recorded on the subject Demographics CRF."
"CDASH Model v1.3","Associated Persons - Identifiers",,"3","RDEVID","Related Device Identifier","The Identifier for a related device.",,"What is the identifier for the related device?","Related Device Identifier","Char","RDEVID","Maps directly to the SDTM variable listed in the SDTM Target column.","","RDEVID will be populated with the SPDEVID of the related device"
"CDASH Model v1.3","Associated Persons - Identifiers",,"4","SREL","Subject, Device, or Study Relationship","The Identifier for a related subject or pool of subjects.",,"What is the associated person's relationship to the (study) [subject/participant]?","Relationship to (Study) [Subject/Participant]","Char","SREL","Maps directly to the SDTM variable listed in the SDTM Target column.","C100130","If RSUBJID is populated, describes the relationship of the associated person(s) identified in APID to the subject or pool identified in RSUBJID. \n If RDEVID is populated, describes the relationship of the associated person(s) identified in APID to the subject or pool identified in RDEVID. \n If RSUBJID and RDEVID are null, SREL describes the relationship of the associated person(s) identified in APID to the study identified in STUDYID."
"CDASH Model v1.3","Timing",,"1","VISITNUM","Visit Number","Clinical encounter number. Numeric version of VISIT can be used for sorting.",,"What is the visit number?","Visit Number","Num","VISITNUM","Maps directly to the SDTM variable listed in the SDTM Target column.","","This is not a data collection field that would appear on the CRF. This field may be populated by the sponsor's data collection system or derived from the variable VISIT. Note: Sponsors may have CDASH visit numbering or visit naming conventions to handle special circumstances (e.g., unscheduled visits). In these cases, the appropriate visit numbers and visit names may need to be populated when the SDTM submission datasets are created."
"CDASH Model v1.3","Timing",,"2","VISIT","Visit Name","Protocol-defined description of the clinical encounter. May be used in addition to VISITNUM and/or VISITDY as a text description of the clinical encounter.",,"What [is/was] the visit name?","[Visit]","Char","VISIT","Maps directly to the SDTM variable listed in the SDTM Target column.","","The name of the visit is typically preprinted on the CRF, and should match the name of the visit in the protocol. May be used to derive the SDTM variable VISITNUM. Note: Sponsors may have CDASH visit numbering or visit naming conventions to handle special circumstances (e.g., unscheduled visits). In these cases, the appropriate visit numbers and visit names may need to be populated when the SDTM submission datasets are created."
"CDASH Model v1.3","Timing",,"3","VISDAT","Visit Date","Date the clinical encounter occurred (or started).",,"What [is/was] the date of the visit?","(Visit) Date","Char",,"This field does not map directly to an SDTM variable. For the SDTMIG SV dataset, the SDTMIG variable SVSTDTC may be derived by concatenating all collected CDASH VISDAT and VISTIM components and populating the SDTM variable SVSTDTC in ISO 8601 format.","","This may be recorded in either the header of the CRF or in the body of the CRF. A date/time can be collected once for the whole visit using the Visit Date/Time field and applying that date/time to all of the observations at that visit. The date (--DTC) of a measurement, test, or observation can be determined from the date/time of visit (VISDAT/VISTIM) and then concatenating the CDASH VISDAT/VISTIM components, and populating the STDMIG variable --DTC in ISO 8601 format."
